Año_encuesta;Region;PIA;PIM;Certificacion;Compromiso_anual;Atencion_compromiso_mensual;Devengado;Girado;%_avance;Devengado en Millones;indice_real;consumo_hierro;
2012;PERU;18817936;42150422;36027034;35987231;35987231;35948414;35857116; 85.3;35.948414;0.444534414;;
2013;PERU;45629271;38523025;36056850;35897332;35897332;35859534;35845708; 93.1;35.859534;0.463962362;0.24251997;
2014;PERU;67052149;98385270;94662939;94612516;94609876;93495935;93478002; 95.0;93.495935;0.468469367;0.253455618;
2015;PERU;89556608;133219145;130460268;130440577;130440577;130221380;129249765; 97.7;130.22138;0.435092931;0.303842421;
2016;PERU;100635159;110913166;108671170;107283636;107283636;107032499;105394994; 96.5;107.032499;0.435916745;0.293009144;
2017;PERU;257535813;103099855;94478494;91718980;91664432;90895936;90870270; 88.2;90.895936;0.436093049;0.307449548;
2018;PERU;109560498;159540486;147131472;143147203;142628128;142238907;142203822; 89.2;142.238907;0.435450122;0.314231904;
2019;PERU;121412576;194528249;185365237;181772346;181333529;181225066;181187992; 93.2;181.225066;0.400622336;0.34761113;
2020;PERU;143706942;186583616;177603827;175782406;175684901;175616522;175601998; 94.1;175.616522;0.399684241;0.335226928;
2012;AMAZONAS;82350;969410;646548;646548;646548;646548;646548;66.7;0.646548;0.506562779;;
2012;ANCASH;462358;1303036;1031467;1031467;1031467;1031467;1031443;79.2;1.031467;0.377094065;;
2012;APURIMAC;273785;1767846;1300500;1300170;1300170;1300170;1300170;73.5;1.30017;0.474472027;;
2012;AREQUIPA;1148993;1747850;1677805;1677805;1677805;1677805;1677456;96;1.677805;0.440864279;;
2012;AYACUCHO;1393847;2812318;2095446;2095446;2095446;2088301;2088126;74.3;2.088301;0.562412959;;
2012;CAJAMARCA;1030951;2932409;2513474;2513474;2513474;2500315;2500315;85.3;2.500315;0.439220768;;
2012;CUSCO;1359648;2969024;2593863;2593863;2593863;2589849;2589849;87.2;2.589849;0.507211825;;
2012;HUANCAVELICA;374275;1847308;1259119;1247240;1247240;1244747;1244387;67.4;1.244747;0.642656913;;
2012;HUANUCO;131877;1448866;998441;998441;998441;997330;996152;68.8;0.99733;0.50852593;;
2012;ICA;209958;382979;371601;371601;371601;371601;371601;97;0.371601;0.398638823;;
2012;JUNIN;862267;1260745;1204548;1204548;1204548;1204508;1204358;95.5;1.204508;0.400801334;;
2012;LA LIBERTAD;0;321947;310811;310811;310811;310772;310692;96.5;0.310772;0.500344841;;
2012;LAMBAYEQUE;1247156;1767222;1415937;1415937;1415937;1415887;1415887;80.1;1.415887;0.38347155;;
2012;LORETO;549703;1839043;976038;976038;976038;976038;976038;53.1;0.976038;0.572915263;;
2012;MADRE DE DIOS;23515;101679;96165;96165;96165;91250;91250;89.7;0.09125;0.593822733;;
2012;MOQUEGUA;2000;35997;31470;31470;31470;31470;31470;87.4;0.03147;0.379227674;;
2012;PASCO;139174;262285;213654;213654;213654;213654;213654;81.5;0.213654;0.553794588;;
2012;PIURA;105952;658755;575217;568639;568639;567138;564458;86.1;0.567138;0.411941426;;
2012;PUNO;492298;882897;772476;772476;772476;772476;772472;87.5;0.772476;0.737332488;;
2012;SAN MARTIN;128278;798805;712350;695274;695274;695219;695219;87;0.695219;0.388382941;;
2012;TACNA;28000;96157;93397;93397;93397;93149;93149;96.9;0.093149;0.357996991;;
2012;TUMBES;13000;488200;487926;487926;487926;485976;485976;99.5;0.485976;0.502972308;;
2012;UCAYALI;277984;389800;364147;364147;364147;364083;364083;93.4;0.364083;0.548287643;;
2012;LIMA;798583;1348289;1232312;1232312;1232312;1230692;1230692;91.3;1.230692;0.508248613;;
2012;CALLAO;320125;432272;429078;429078;429078;429078;428857;99.3;0.429078;0.403533977;;
2013;AMAZONAS;94550;503645;420985;420985;420985;420985;419560;83.6;0.420985;0.472314212;0.014788743;
2013;ANCASH;257578;505208;499418;499418;499418;499418;499238;98.9;0.499418;0.398348092;0.362821786;
2013;APURIMAC;269310;2016608;1813657;1813657;1813657;1813657;1813657;89.9;1.813657;0.484074396;0.476854395;
2013;AREQUIPA;998518;1409514;1360856;1360856;1360856;1360856;1360856;96.5;1.360856;0.394005374;0.210117865;
2013;AYACUCHO;2510591;2812401;2592029;2592029;2592029;2587274;2587034;92;2.587274;0.543010992;0.343013826;
2013;CAJAMARCA;611899;2330597;1793436;1793436;1793436;1793436;1793004;77;1.793436;0.505461704;0.393840995;
2013;CUSCO;852265;1782071;1753359;1753359;1753359;1753359;1753359;98.4;1.753359;0.559865721;0.476939897;
2013;HUANCAVELICA;480793;2022953;1966051;1807882;1807882;1806820;1796960;89.3;1.80682;0.543324374;0.338861675;
2013;HUANUCO;233298;1060651;925751;925751;925751;925071;924265;87.2;0.925071;0.511846936;0.338546687;
2013;ICA;174524;365887;355543;355543;355543;355543;355543;97.2;0.355543;0.367738048;0.095948472;
2013;JUNIN;851693;1347582;1323359;1323359;1323359;1323359;1323359;98.2;1.323359;0.625611997;0.301099237;
2013;LAMBAYEQUE;1177442;1484927;1259022;1259022;1259022;1258592;1258592;84.8;1.258592;0.409909944;0.245135312;
2013;LORETO;1000688;1886130;1809323;1809323;1809323;1809323;1809323;95.9;1.809323;0.574446762;0.198183457;
2013;MADRE DE DIOS;23515;31515;31274;31274;31274;31274;31274;99.2;0.031274;0.613415998;0.205398802;
2013;MOQUEGUA;22210;78601;71733;71733;71733;71733;71733;91.3;0.071733;0.283583102;0.252215347;
2013;PASCO;172010;299626;221622;221622;221622;221622;221622;74;0.221622;0.58977493;0.407234174;
2013;PIURA;329430;1715506;1699931;1699185;1699185;1680587;1680587;98;1.680587;0.439307238;0.234088277;
2013;PUNO;400892;1272959;1075409;1075409;1075409;1075409;1075409;84.5;1.075409;0.791005654;0.283147843;
2013;SAN MARTIN;800056;960927;952989;952989;952989;952889;952836;99.2;0.952889;0.316750852;0.206651284;
2013;TACNA;21000;34929;34777;34777;34777;34777;34777;99.6;0.034777;0.502602212;0.131353988;
2013;TUMBES;310694;380988;348061;348061;348061;348061;348061;91.4;0.348061;0.5484766;0.292040771;
2013;UCAYALI;435901;570333;570116;570116;570116;562370;562220;98.6;0.56237;0.536247104;0.091708028;
2013;LIMA;736010;961613;941208;941208;941208;937936;937649;97.5;0.937936;0.425526308;0.206762892;
2013;CALLAO;433640;536031;533628;533628;533628;533628;533615;99.6;0.533628;0.580044482;0.178885327;
2014;AMAZONAS;219837;799015;671321;671321;671321;671321;671321;84;0.671321;0.595112979;0.303561049;
2014;ANCASH;413568;1817020;1705427;1704842;1704842;1699842;1699842;93.6;1.699842;0.458228568;0.242589515;
2014;APURIMAC;930092;3495636;3373577;3373577;3373577;3373014;3373014;96.5;3.373014;0.530101244;0.419795481;
2014;AREQUIPA;730772;1567677;1548552;1548552;1548552;1547967;1547967;98.7;1.547967;0.391648273;0.173147437;
2014;AYACUCHO;2488393;5552835;4972685;4972685;4972685;4261463;4261463;76.7;4.261463;0.457801553;0.316853587;
2014;CAJAMARCA;874915;3221243;3034643;3034643;3034643;3016408;3016408;93.6;3.016408;0.485376003;0.34881036;
2014;CUSCO;1074478;2814609;2715383;2715383;2715383;2710965;2710965;96.3;2.710965;0.562806342;0.211237291;
2014;HUANCAVELICA;1303419;3197932;2237856;2237856;2237856;2196741;2194741;68.7;2.196741;0.636908184;0.409609044;
2014;HUANUCO;436096;2082507;1881149;1881149;1881149;1649650;1638559;79.2;1.64965;0.442771778;0.318997817;
2014;ICA;277196;490984;438703;438702;438702;438702;438702;89.4;0.438702;0.367737894;0.16064731;
2014;JUNIN;824630;2287606;2205178;2205178;2205178;2204888;2204888;96.4;2.204888;0.640148461;0.26545787;
2014;LA LIBERTAD;147918;226878;203683;203683;203683;203683;203683;89.8;0.203683;0.408556688;0.17946097;
2014;LAMBAYEQUE;1166089;2060165;1741154;1741154;1741154;1725329;1725329;83.7;1.725329;0.357533105;0.236051622;
2014;LORETO;941093;2589427;2482820;2482498;2482498;2457038;2457038;94.9;2.457038;0.59205945;0.304767609;
2014;MADRE DE DIOS;28515;110858;109818;109818;109818;109818;109818;99.1;0.109818;0.684137994;0.199779208;
2014;MOQUEGUA;114298;149940;144846;144846;144846;144846;144846;96.6;0.144846;0.36141388;0.206151916;
2014;PASCO;158279;413360;376690;376328;376328;376328;376328;91;0.376328;0.606135747;0.191173764;
2014;PIURA;461909;1918327;1855750;1848964;1848964;1848203;1848203;96.3;1.848203;0.439092409;0.407948557;
2014;PUNO;437079;1132528;1052862;1046990;1046990;1046980;1042910;92.4;1.04698;0.819878591;0.208689146;
2014;SAN MARTIN;998348;2300913;2277685;2277685;2277685;2277653;2276920;99;2.277653;0.476145012;0.180605114;
2014;TACNA;6000;134149;134063;133840;133840;133840;133840;99.8;0.13384;0.414549061;0.116797246;
2014;TUMBES;498392;611982;602880;602880;602880;602817;602817;98.5;0.602817;0.522392384;0.308964518;
2014;UCAYALI;460884;1121326;1092717;1092717;1092717;1092717;1092717;97.4;1.092717;0.595563742;0.186588377;
2014;LIMA;997034;2200560;2154991;2150063;2147423;2099221;2099221;95.4;2.099221;0.559283561;0.273060136;
2014;CALLAO;370661;940506;936843;936843;936843;926825;926786;98.5;0.926825;0.437670722;0.225302468;
2015;AMAZONAS;182343;743301;723255;723255;723255;723255;722535;97.3;0.723255;0.451241575;0.375162552;
2015;ANCASH;348744;2380968;2231023;2231023;2231023;2229888;2229888;93.7;2.229888;0.507579763;0.373911067;
2015;APURIMAC;1325433;4504731;4494356;4494356;4494356;4493827;4493232;99.8;4.493827;0.567951305;0.465737035;
2015;AREQUIPA;1260841;2151586;2134401;2134401;2134401;2134401;2134401;99.2;2.134401;0.420200938;0.276297578;
2015;AYACUCHO;1946378;5857489;5760402;5760402;5760402;5727245;5727245;97.8;5.727245;0.500912272;0.41119778;
2015;CAJAMARCA;1081413;2251227;2240147;2240147;2240147;2240146;2240146;99.5;2.240146;0.354971178;0.302787974;
2015;CUSCO;1924247;2289028;2273009;2273009;2273009;2272448;2272448;99.3;2.272448;0.53087378;0.374621925;
2015;HUANCAVELICA;1089004;4866986;4820603;4820598;4820598;4816765;4814273;99;4.816765;0.53417076;0.409180625;
2015;HUANUCO;552301;3242587;3001010;3001010;3001010;2999490;2998783;92.5;2.99949;0.42859394;0.329220009;
2015;ICA;454437;1178512;1081349;1081349;1081349;1077459;1077459;91.4;1.077459;0.446306886;0.210472395;
2015;JUNIN;1708507;3320616;3260830;3259306;3259306;3259306;3258306;98.2;3.259306;0.53948865;0.348694629;
2015;LA LIBERTAD;126418;154331;144321;144321;144321;143821;143756;93.2;0.143821;0.340258566;0.308780155;
2015;LAMBAYEQUE;1385897;2324634;2268201;2268201;2268201;2268129;2268129;97.6;2.268129;0.359761733;0.257625563;
2015;LORETO;1448791;4201818;4159218;4158606;4158606;4105288;4102804;97.7;4.105288;0.556284585;0.26645665;
2015;MADRE DE DIOS;57955;177610;84515;84515;84515;84515;84515;47.6;0.084515;0.581633055;0.231209728;
2015;MOQUEGUA;110499;375667;359334;351850;351850;350829;350829;93.4;0.350829;0.39271388;0.27847872;
2015;PASCO;177515;620315;590376;590376;590376;590376;590328;95.2;0.590376;0.561135425;0.315484005;
2015;PIURA;443594;2416524;2413209;2413205;2413205;2412830;2412830;99.8;2.41283;0.359291855;0.43134567;
2015;PUNO;1000737;2883015;2684883;2684883;2684883;2660977;2660977;92.3;2.660977;0.760346633;0.259400723;
2015;SAN MARTIN;604215;4274864;4162124;4159657;4159657;4158522;4158282;97.3;4.158522;0.447324652;0.346743608;
2015;TACNA;6940;381600;367678;367678;367678;367572;367572;96.3;0.367572;0.388946045;0.292391833;
2015;TUMBES;21600;203545;203519;203519;203519;203519;203519;100;0.203519;0.483735554;0.462192036;
2015;UCAYALI;242107;1403627;1392971;1392970;1392970;1391635;1391635;99.1;1.391635;0.543117185;0.221069076;
2015;LIMA;1148424;3589759;3576234;3568642;3568642;3494623;3494406;97.4;3.494623;0.487200283;0.399252917;
2015;CALLAO;662211;2125274;2042260;2042260;2042260;2041600;2038452;96.1;2.0416;0.343359433;0.283154914;
2016;AMAZONAS;4180703;5812590;5809780;5809780;5809780;5809701;5809701;100;5.809701;0.446326086;0.348707055;
2016;ANCASH;350738;2323162;2126486;2126486;2126486;2125823;2123898;91.5;2.125823;0.412788526;0.34457574;
2016;APURIMAC;1392477;2135265;2131440;2131440;2131440;2131440;2130760;99.8;2.13144;0.534558354;0.461703741;
2016;AREQUIPA;1550265;1712445;1696807;1696807;1696807;1694607;1694854;99;1.694607;0.445215539;0.31737282;
2016;AYACUCHO;2675555;3900521;3774375;3745362;3745362;3743571;3743311;96;3.743571;0.528191523;0.427628828;
2016;CAJAMARCA;2563618;4972772;4867168;4723635;4723635;4722802;4715973;95;4.722802;0.303236824;0.264289634;
2016;CUSCO;2371008;5273021;5111373;5111272;5111272;4991598;4991598;94.7;4.991598;0.566415344;0.347123375;
2016;HUANCAVELICA;1280698;2153469;2088208;2088208;2088208;2086168;2082562;96.9;2.086168;0.580674974;0.384961333;
2016;HUANUCO;513038;1215581;1208460;1206636;1206636;1206506;1206430;99.3;1.206506;0.469662664;0.295144941;
2016;ICA;522394;1433149;1265384;1265384;1265384;1265196;1265196;88.3;1.265196;0.411251068;0.245235027;
2016;JUNIN;2089850;4344491;4282834;4282421;4282421;4282242;4282127;98.6;4.282242;0.559439141;0.291910253;
2016;LA LIBERTAD;970451;1271885;1236040;1234581;1234581;1234468;1234468;97.1;1.234468;0.357126338;0.334100956;
2016;LAMBAYEQUE;1482190;3585660;3564141;2947586;2947586;2947586;2947586;82.2;2.947586;0.383177732;0.218435874;
2016;LORETO;2160765;2403072;2402284;2402284;2402284;2394398;2394398;99.6;2.394398;0.607286495;0.270114666;
2016;MADRE DE DIOS;57561;495692;417556;260931;260931;260931;260931;52.6;0.260931;0.556485605;0.208483504;
2016;MOQUEGUA;112059;234030;227511;196011;196011;196011;196011;83.8;0.196011;0.381407047;0.381028088;
2016;PASCO;297632;852838;683823;683823;683823;683823;683823;80.2;0.683823;0.606152393;0.288699638;
2016;PIURA;513265;1339284;1333490;1333490;1333490;1331824;1331824;99.4;1.331824;0.427920756;0.319235036;
2016;PUNO;692531;2271820;1903628;1626889;1626889;1626408;1626408;71.6;1.626408;0.759262648;0.223922028;
2016;SAN MARTIN;722273;2632010;2541951;2541951;2541951;2482072;2482052;94.3;2.482072;0.483327512;0.296712806;
2016;TACNA;6940;221230;205454;158953;158953;156792;156792;70.9;0.156792;0.350864415;0.292589883;
2016;TUMBES;21600;65098;65097;65097;65097;65097;65097;100;0.065097;0.488272245;0.404376961;
2016;UCAYALI;237707;631410;631304;631304;631304;631304;631304;100;0.631304;0.570842425;0.224503455;
2016;LIMA;1140045;2228640;2166905;2130903;2130903;2124183;2124175;95.3;2.124183;0.408636464;0.336606608;
2016;CALLAO;677640;1528518;1261510;1236402;1236402;1236322;1236322;80.9;1.236322;0.438000527;0.318287609;
2017;AMAZONAS;5639741;5956790;5843008;5843008;5843008;5842943;5840391;98.1;5.842943;0.511572357;0.346277405;
2017;ANCASH;2813435;3224195;3214368;3214315;3214315;3208983;3208961;99.5;3.208983;0.428482467;0.378384202;
2017;APURIMAC;2354841;2673097;2669078;2669033;2632366;2632225;2632225;98.5;2.632225;0.542090877;0.487399624;
2017;AREQUIPA;2627257;2843103;2837276;2836738;2836738;2836738;2836738;99.8;2.836738;0.3415621;0.283788245;
2017;AYACUCHO;3227380;4619985;4167114;4069209;4069209;3990695;3990487;86.4;3.990695;0.483281817;0.375781938;
2017;CAJAMARCA;3350651;4159208;4078297;3860015;3857066;3837451;3837451;92.3;3.837451;0.375908312;0.326325019;
2017;CUSCO;6122401;7163816;6756300;6791672;6785665;6785001;6785001;94.7;6.785001;0.55321073;0.323278455;
2017;HUANCAVELICA;1350147;2649323;2649130;2649129;2649129;2649129;2649016;100;2.649129;0.546789211;0.430679911;
2017;HUANUCO;711142;998385;899834;876119;876119;876119;876119;87.8;0.876119;0.447058237;0.288974837;
2017;ICA;596858;1569464;1446870;1446790;1446790;1442907;1442777;91.9;1.442907;0.405051407;0.264271626;
2017;JUNIN;4177701;5164724;5105765;4274923;4274923;4273457;4273107;82.7;4.273457;0.533492662;0.304519688;
2017;LA LIBERTAD;1063015;2009753;1615897;1544544;1544544;1542580;1542244;76.8;1.54258;0.417732821;0.322138427;
2017;LAMBAYEQUE;1638703;3204989;2886604;2521304;2521304;2497139;2497139;77.9;2.497139;0.376449791;0.216959184;
2017;LORETO;1635486;1526253;1398368;1398368;1398368;1398368;1398180;91.6;1.398368;0.615462534;0.26061859;
2017;MADRE DE DIOS;75738;487231;337275;302925;301755;301705;301705;61.9;0.301705;0.573088972;0.263413064;
2017;MOQUEGUA;129451;174613;161080;155008;155008;155008;155008;88.8;0.155008;0.372343996;0.386604851;
2017;PASCO;803057;1245296;1071209;1071209;1071209;1071209;1071209;86;1.071209;0.580257958;0.317267388;
2017;PIURA;380963;1544440;1476271;1172513;1172513;1172498;1172498;75.9;1.172498;0.422526453;0.382303417;
2017;PUNO;2888678;4120854;3913145;3913141;3913141;3913141;3913141;95;3.913141;0.758583616;0.28739372;
2017;SAN MARTIN;951459;2055551;1835453;1726816;1726816;1726816;1726816;84;1.726816;0.506854195;0.287462809;
2017;TACNA;6940;587234;501201;392399;392399;392399;392399;66.8;0.392399;0.369618834;0.316819711;
2017;TUMBES;105572;327713;327373;327301;327301;327301;327301;99.9;0.327301;0.467950082;0.404880145;
2017;UCAYALI;264665;458300;458293;458293;458293;458293;458293;100;0.458293;0.591348274;0.239495763;
2017;LIMA;1991481;2691562;2653973;2610608;2602853;2602124;2601389;96.7;2.602124;0.439017161;0.358825374;
2017;CALLAO;407117;386802;379815;379815;379815;378898;378898;98;0.378898;0.323878788;0.229759378;
2018;AMAZONAS;5170191;7017352;6670072;6632731;6632731;6585439;6576937;93.8;6.585439;0.445131318;0.271544645;
2018;ANCASH;2536121;3574735;2840017;2839158;2839158;2803681;2803681;78.4;2.803681;0.457392939;0.400965197;
2018;APURIMAC;3413143;6085852;5273220;5215704;5210171;5208264;5207544;85.6;5.208264;0.532126948;0.445431712;
2018;AREQUIPA;1832333;1621602;1262701;1252401;1252401;1252151;1252151;77.2;1.252151;0.383868861;0.354047437;
2018;AYACUCHO;4079537;6870110;6605028;6305514;6300519;6300499;6300431;91.7;6.300499;0.493340907;0.397293411;
2018;CAJAMARCA;3782715;5349209;5271138;5035948;4970384;4966477;4959844;92.8;4.966477;0.319208072;0.349594475;
2018;CUSCO;4726255;8740856;8215027;6669584;6595659;6554326;6554326;75;6.554326;0.541899489;0.374333986;
2018;HUANCAVELICA;1966695;3485478;3128093;2958532;2957108;2952965;2952965;84.7;2.952965;0.557905436;0.441559114;
2018;HUANUCO;755303;1071695;991578;953184;951222;950542;950202;88.7;0.950542;0.438452994;0.377013277;
2018;ICA;563336;1950451;1701685;1701198;1699489;1699448;1698614;87.1;1.699448;0.430518029;0.249743903;
2018;JUNIN;4265919;6890702;5835020;5581294;5581294;5573553;5573243;80.9;5.573553;0.570491723;0.289411597;
2018;LA LIBERTAD;2989647;4514264;3617767;3569256;3565076;3564605;3564605;79;3.564605;0.378562042;0.295632789;
2018;LAMBAYEQUE;1839241;3223638;3027833;2920655;2920655;2920454;2920174;90.6;2.920454;0.409868343;0.268466519;
2018;LORETO;1338858;20749193;20652652;20652651;20652651;20630545;20623875;99.4;20.630545;0.574398917;0.353381208;
2018;MADRE DE DIOS;75738;1026366;179508;179508;177707;175047;174987;17.1;0.175047;0.547975404;0.220835938;
2018;MOQUEGUA;116946;568197;124022;119174;119174;119174;119174;21;0.119174;0.338999782;0.388907259;
2018;PASCO;780800;1639013;1284864;1283095;1256228;1196128;1196128;73;1.196128;0.586839116;0.355970298;
2018;PIURA;382737;2972514;2273182;1896628;1850289;1849317;1849317;62.2;1.849317;0.442048529;0.389129429;
2018;PUNO;3992197;5816215;4476558;4476548;4476548;4476543;4474468;77;4.476543;0.67683289;0.219525479;
2018;SAN MARTIN;1447317;4184037;3320947;3208407;2939627;2939387;2939387;70.3;2.939387;0.501416953;0.292959585;
2018;TACNA;39410;546896;316928;164166;164166;164166;164166;30;0.164166;0.349004236;0.318108996;
2018;TUMBES;105572;971276;952146;952146;952146;952146;952146;98;0.952146;0.471570974;0.390753337;
2018;UCAYALI;665796;1581460;1254959;1254959;1254958;1251329;1251329;79.1;1.251329;0.56388519;0.218213256;
2018;LIMA;2526196;3235154;3153608;3153289;3153289;3153289;3152676;97.5;3.153289;0.404542371;0.325354462;
2018;CALLAO;787660;2162244;1597505;1519863;1503867;1502773;1496953;69.5;1.502773;0.370028069;0.279431663;
2019;AMAZONAS;6030045;7607407;7429887;7325326;7325268;7324218;7320759;96.3;7.324218;0.363806768;0.365491429;
2019;ANCASH;2566348;5320771;5055751;4869167;4869167;4868120;4868106;91.5;4.86812;0.402329488;0.359812737;
2019;APURIMAC;3583459;5262939;4953180;4952939;4952939;4918922;4918833;93.5;4.918922;0.479491951;0.498042957;
2019;AREQUIPA;1608742;3849960;3658428;3631428;3631428;3631410;3631410;94.3;3.63141;0.339075772;0.351622833;
2019;AYACUCHO;6207885;10337902;10249447;10072414;10067713;10063003;10061003;97.3;10.063003;0.450242294;0.420112504;
2019;CAJAMARCA;7863293;11234327;11010454;10957087;10930449;10925728;10924658;97.3;10.925728;0.287403843;0.399037989;
2019;CUSCO;5462164;8252814;7955640;7075997;7009995;7009995;7009745;84.9;7.009995;0.573849995;0.418612597;
2019;HUANCAVELICA;2162669;5938237;5567819;5566822;5552374;5552235;5552145;93.5;5.552235;0.542126212;0.474472253;
2019;HUANUCO;1434081;2960960;2868254;2775822;2769932;2769172;2769142;93.5;2.769172;0.391104085;0.347868798;
2019;ICA;1648543;2379603;2331660;2308980;2307980;2307820;2307345;97;2.30782;0.375452954;0.299625983;
2019;JUNIN;3997614;5813402;5779213;5775191;5774999;5774338;5771818;99.3;5.774338;0.525539801;0.318369732;
2019;LA LIBERTAD;3425675;5168159;4544233;4490944;4490944;4488126;4488055;86.8;4.488126;0.342115512;0.309692743;
2019;LAMBAYEQUE;2120071;4668648;3823776;3759215;3759215;3758967;3758967;80.5;3.758967;0.390462307;0.256722522;
2019;LORETO;16397347;23470154;23298021;23154656;23152256;23139656;23129252;98.6;23.139656;0.529718663;0.344482094;
2019;MADRE DE DIOS;307765;1274422;921656;893387;886287;878760;878305;69;0.87876;0.51412121;0.277944903;
2019;MOQUEGUA;74337;743580;501395;491162;491162;490147;490139;65.9;0.490147;0.331630603;0.315707761;
2019;PASCO;1320658;2255595;2066745;1878604;1858644;1858644;1858404;82.4;1.858644;0.502219398;0.366621342;
2019;PIURA;1014678;4665115;4398654;3702741;3628424;3621849;3621829;77.6;3.621849;0.43774431;0.409439459;
2019;PUNO;4010881;6519561;6442585;6442292;6442292;6436967;6428700;98.7;6.436967;0.699143123;0.324251808;
2019;SAN MARTIN;2140800;7744154;6059933;5847062;5715022;5709672;5709375;73.7;5.709672;0.442799169;0.318650358;
2019;TACNA;124719;622087;575496;575495;575495;575495;575495;92.5;0.575495;0.327011345;0.339598222;
2019;TUMBES;581372;1077711;1018902;1002556;990679;990679;985113;91.9;0.990679;0.444347667;0.406381615;
2019;UCAYALI;973920;2867586;2408071;2358401;2313757;2305238;2304883;80.4;2.305238;0.537230945;0.247708226;
2019;LIMA;3199760;4061752;3978374;3977955;3950403;3939211;3939211;97;3.939211;0.396454313;0.416843103;
2019;CALLAO;1232492;2434207;1911486;1625854;1625854;1625854;1625854;66.8;1.625854;0.353062762;0.299807425;
2020;AMAZONAS;5968080;7240902;6928303;6922828;6922828;6922763;6922539;95.6;6.922763;0.32138716;0.32350727;
2020;ANCASH;2849450;4219841;3937153;3746785;3746785;3746785;3746785;88.8;3.746785;0.356228593;0.39826607;
2020;APURIMAC;4259980;5607309;5395314;5384782;5384782;5384279;5384279;96;5.384279;0.519964958;0.461329191;
2020;AREQUIPA;1569862;3566717;3219821;3217661;3217661;3217661;3217661;90.2;3.217661;0.469670526;0.338015396;
2020;AYACUCHO;5240808;6620610;6213371;6165666;6165666;6164599;6164599;93.1;6.164599;0.449746012;0.382931347;
2020;CAJAMARCA;8625203;11139334;10904133;10845980;10845980;10845980;10845950;97.4;10.84598;0.395366087;0.389652056;
2020;CUSCO;4912035;6040525;5830847;5830713;5820735;5793910;5793910;95.9;5.79391;0.496573189;0.482190085;
2020;HUANCAVELICA;2247771;4124345;3610080;3610051;3610051;3610051;3610051;87.5;3.610051;0.448408841;0.411974004;
2020;HUANUCO;734134;1197789;940138;939070;937447;937447;937273;78.3;0.937447;0.422302903;0.318197064;
2020;ICA;1402796;2104033;2048092;2044529;2044529;2044489;2044489;97.2;2.044489;0.339286871;0.250807984;
2020;JUNIN;4134922;6806848;6495718;6384637;6384637;6372863;6372863;93.6;6.372863;0.456241993;0.317582822;
2020;LA LIBERTAD;4899763;5738537;5249028;5246093;5245369;5245369;5245369;91.4;5.245369;0.385515472;0.328531081;
2020;LAMBAYEQUE;2531782;2813330;2579825;2579825;2579825;2579825;2578400;91.7;2.579825;0.375926589;0.23448015;
2020;LORETO;6742248;19344558;19092676;19060096;19060096;19046930;19046340;98.5;19.04693;0.479903048;0.271383983;
2020;MADRE DE DIOS;22120;406744;271700;271700;271700;271700;271700;66.8;0.2717;0.586029642;0.364807356;
2020;MOQUEGUA;143311;410863;276289;276289;243089;243089;243089;59.2;0.243089;0.321861288;0.263678428;
2020;PASCO;1343917;2543135;2085375;2065649;2064785;2054827;2054827;80.8;2.054827;0.489149174;0.356112335;
2020;PIURA;1293506;2979033;2396556;2392694;2392694;2388102;2388102;80.2;2.388102;0.426308566;0.437826405;
2020;PUNO;4321097;5829647;5492548;5442684;5442684;5442684;5432481;93.4;5.442684;0.687722201;0.305109715;
2020;SAN MARTIN;2862113;4162082;3874762;3874762;3873762;3873762;3873362;93.1;3.873762;0.465801354;0.357063243;
2020;TACNA;131365;368739;283718;283718;283718;283718;283718;76.9;0.283718;0.257578163;0.380623026;
2020;TUMBES;624502;843323;767410;767410;766552;766552;766553;90.9;0.766552;0.39115508;0.396576766;
2020;UCAYALI;986705;2720539;2460284;2434525;2434525;2434525;2434525;89.5;2.434525;0.608029984;0.265326421;
2020;LIMA;3772230;3903851;3772735;3772435;3769615;3769606;3769481;96.6;3.769606;0.310492791;0.391044316;
2020;CALLAO;674449;1777537;917491;917079;870640;870472;870472;49;0.870472;0.301626645;0.239012705;
